Vehicle{plate='AFY-7604', expDate=2018-02-26}
Vehicle{plate='AIJ-5378', expDate=2017-08-23}
Vehicle{plate='ATV-6807', expDate=2017-09-09}
Vehicle{plate='AYI-9013', expDate=2018-03-12}
Vehicle{plate='BGY-8755', expDate=2017-08-17}
Vehicle{plate='BKR-2895', expDate=2018-04-23}
Vehicle{plate='BKU-3940', expDate=2017-10-24}
Vehicle{plate='BMF-9227', expDate=2018-02-14}
Vehicle{plate='BMY-2892', expDate=2018-07-08}
Vehicle{plate='BOP-2830', expDate=2017-07-30}
Vehicle{plate='BOW-6827', expDate=2017-12-25}
Vehicle{plate='BTW-3956', expDate=2018-07-28}
Vehicle{plate='BUL-4404', expDate=2017-07-18}
Vehicle{plate='BUR-2688', expDate=2018-02-07}
Vehicle{plate='BUT-8175', expDate=2018-03-11}
Vehicle{plate='CBD-1115', expDate=2017-05-12}
Vehicle{plate='CCA-9217', expDate=2018-02-28}
Vehicle{plate='CDK-7235', expDate=2018-05-14}
Vehicle{plate='CIA-7713', expDate=2018-08-15}
Vehicle{plate='CKG-5133', expDate=2018-06-27}
Vehicle{plate='CYY-3685', expDate=2018-08-05}
Vehicle{plate='CZZ-6902', expDate=2018-02-27}
Vehicle{plate='DEC-7587', expDate=2017-08-26}
Vehicle{plate='DFE-5825', expDate=2018-08-10}
Vehicle{plate='DFJ-6587', expDate=2017-05-20}
Vehicle{plate='DIN-5310', expDate=2017-10-04}
Vehicle{plate='DMC-8535', expDate=2018-05-13}
Vehicle{plate='DPV-8334', expDate=2017-10-03}
Vehicle{plate='DXP-7017', expDate=2017-08-04}
Vehicle{plate='DYB-1262', expDate=2018-01-02}
Vehicle{plate='EAM-8752', expDate=2018-01-26}
Vehicle{plate='ELS-5682', expDate=2017-01-26}
Vehicle{plate='ENE-6996', expDate=2018-09-17}
Vehicle{plate='EWY-7742', expDate=2017-06-03}
Vehicle{plate='FDN-2019', expDate=2017-01-05}
Vehicle{plate='FDW-4584', expDate=2018-08-09}
Vehicle{plate='FEP-5353', expDate=2018-07-29}
Vehicle{plate='FHP-9881', expDate=2018-01-27}
Vehicle{plate='FJI-6026', expDate=2017-04-14}
Vehicle{plate='FNV-4799', expDate=2018-09-16}
